iter	Passed	Remaining
0	331	330777
1	548	273797
2	768	255351
3	949	236399
4	1137	226386
5	1285	212901
6	1499	212762
7	1691	209706
8	1847	203433
9	2006	198688
10	2178	195822
11	2333	192101
12	2493	189342
13	2679	188732
14	2826	185612
15	2994	184185
16	3174	183544
17	3357	183194
18	3537	182649
19	3711	181846
20	3872	180541
21	4039	179578
22	4198	178356
23	4381	178173
24	4555	177664
25	4753	178077
26	4958	178681
27	5100	177076
28	5250	175808
29	5427	175503
30	5613	175476
31	5768	174499
32	5987	175457
33	6218	176665
34	6423	177093
35	6611	177049
36	6827	177711
37	7039	178204
38	7237	178339
39	7404	177715
40	7588	177501
41	7786	177597
42	7968	177352
43	8104	176087
44	8323	176633
45	8505	176405
46	8727	176954
47	8987	178244
48	9183	178228
49	9411	178812
50	9716	180796
51	9927	180990
52	10085	180200
53	10396	182139
54	10560	181451
55	10771	181582
56	10943	181043
57	11253	182767
58	11436	182395
59	11644	182424
60	11820	181954
61	12048	182288
62	12271	182510
63	12480	182532
64	12690	182548
65	12925	182920
66	13144	183035
67	13332	182732
68	13506	182244
69	13701	182029
70	13932	182297
71	14094	181657
72	14294	181518
73	14499	181441
74	14661	180824
75	14852	180574
76	15032	180196
77	15221	179923
78	15399	179526
79	15588	179272
80	15766	178883
81	15948	178547
82	16147	178404
83	16325	178022
84	16543	178090
85	16756	178084
86	16942	177803
87	17141	177646
88	17301	177096
89	17505	176998
90	17689	176699
91	17859	176268
92	18032	175863
93	18189	175312
94	18257	173925
95	18429	173543
96	18600	173159
97	18786	172916
98	18947	172442
99	19139	172251
100	19331	172070
101	19516	171820
102	19663	171246
103	19862	171126
104	20066	171040
105	20275	171006
106	20463	170782
107	20665	170683
108	20842	170370
109	21018	170060
110	21176	169606
111	21350	169278
112	21506	168817
113	21683	168520
114	21864	168263
115	22045	167999
116	22234	167805
117	22411	167513
118	22589	167238
119	22806	167250
120	22995	167047
121	23173	166775
122	23323	166300
123	23529	166223
124	23722	166057
125	23928	165982
126	24094	165624
127	24289	165470
128	24468	165211
129	24653	164986
130	24802	164531
131	24987	164312
132	25183	164168
133	25383	164046
134	25535	163618
135	25717	163384
136	25902	163168
137	26079	162899
138	26234	162505
139	26456	162516
140	26625	162210
141	26801	161944
142	26983	161711
143	27137	161319
144	27298	160968
145	27475	160713
146	27647	160428
147	27819	160148
148	27991	159868
149	28163	159595
150	28327	159270
151	28551	159288
152	28722	159008
153	28889	158706
154	29082	158547
155	29251	158258
156	29421	157974
157	29579	157633
158	29797	157607
159	30010	157553
160	30182	157284
161	30350	156995
162	30560	156924
163	30750	156753
164	30912	156438
165	31106	156283
166	31285	156051
167	31448	155742
168	31662	155689
169	31831	155410
170	32023	155249
171	32185	154939
172	32364	154711
173	32524	154399
174	32703	154171
175	32842	153761
176	33019	153533
177	33201	153322
178	33367	153042
179	33526	152731
180	33728	152614
181	33878	152267
182	34069	152100
183	34286	152054
184	34448	151757
185	34672	151738
186	34851	151521
187	35050	151388
188	35230	151176
189	35419	150999
190	35594	150764
191	35761	150495
192	35935	150257
193	36120	150067
194	36329	149974
195	36517	149794
196	36708	149629
197	36874	149359
198	37065	149192
199	37249	148997
200	37445	148849
201	37643	148710
202	37812	148456
203	37988	148229
204	38162	147996
205	38305	147642
206	38567	147748
207	38740	147510
208	38896	147210
209	39039	146864
210	39216	146643
211	39370	146341
212	39551	146137
213	39710	145851
214	39920	145754
215	40097	145538
216	40270	145306
217	40601	145645
218	40785	145451
219	40960	145224
220	41137	145003
221	41329	144840
222	41508	144627
223	41712	144505
224	41890	144291
225	42102	144193
226	42260	143910
227	42439	143699
228	42600	143428
229	42803	143300
230	43052	143320
231	43266	143226
232	43428	142960
233	43662	142928
234	43836	142700
235	44028	142531
