grate11-1,grate11-2,grate11-3,grate11-4,grate8-1,grate8-2,grate8-3,grate4-1,grate4-2,grate4-3,grate4-4,grate1-1,grate1-2,grate12-1,grate12-2,grate0-1,grate0-2,grate0-3,grate0-4,grate8-4
571.56,569.74,569.22,567.04,568.27,567.34,560.36,561.43,561.0,555.61,558.62,548.62,550.57,583.11,570.87,549.23,546.82,547.02,546.68,568.19
571.56,569.74,569.23,567.04,568.27,567.35,560.38,561.44,561.0,555.61,558.62,548.63,550.57,583.11,570.87,549.23,546.85,547.03,546.68,568.19
571.56,569.74,569.23,567.04,568.26,567.37,560.39,561.44,560.99,555.6,558.63,548.63,550.58,583.12,570.87,549.22,546.88,547.04,546.68,568.19
571.56,569.74,569.23,567.04,568.25,567.38,560.41,561.45,560.99,555.6,558.63,548.63,550.58,583.13,570.87,549.22,546.91,547.05,546.68,568.19
571.56,569.75,569.23,567.04,568.24,567.4,560.43,561.45,560.99,555.59,558.64,548.62,550.59,583.14,570.87,549.22,546.93,547.05,546.69,568.19
571.56,569.75,569.24,567.04,568.24,567.41,560.44,561.46,560.99,555.59,558.64,548.61,550.59,583.15,570.87,549.21,546.96,547.06,546.69,568.19
571.56,569.75,569.23,567.04,568.23,567.43,560.46,561.46,560.99,555.59,558.63,548.6,550.59,583.16,570.87,549.21,546.99,547.07,546.69,568.19
571.56,569.75,569.22,567.04,568.22,567.45,560.48,561.47,560.99,555.59,558.63,548.59,550.6,583.17,570.87,549.21,547.02,547.08,546.69,568.19
571.56,569.75,569.21,567.04,568.21,567.46,560.49,561.47,560.98,555.59,558.62,548.58,550.6,583.18,570.87,549.2,547.05,547.09,546.69,568.18
571.56,569.74,569.2,567.05,568.21,567.48,560.51,561.45,560.98,555.59,558.61,548.58,550.61,583.19,570.87,549.2,547.08,547.1,546.69,568.18
571.56,569.73,569.18,567.06,568.2,567.49,560.53,561.42,560.98,555.59,558.61,548.57,550.61,583.2,570.86,549.19,547.11,547.11,546.69,568.18
571.56,569.73,569.17,567.06,568.19,567.51,560.55,561.39,560.97,555.58,558.6,548.56,550.62,583.21,570.86,549.19,547.13,547.12,546.7,568.18
571.56,569.72,569.16,567.07,568.19,567.52,560.56,561.37,560.97,555.58,558.59,548.55,550.62,583.22,570.86,549.19,547.16,547.12,546.7,568.18
571.56,569.71,569.15,567.08,568.18,567.54,560.58,561.34,560.97,555.58,558.59,548.54,550.63,583.23,570.86,549.18,547.19,547.13,546.7,568.18
571.57,569.7,569.13,567.09,568.17,567.55,560.6,561.31,560.96,555.58,558.58,548.53,550.63,583.24,570.86,549.18,547.22,547.14,546.7,568.18
571.57,569.69,569.12,567.1,568.16,567.57,560.61,561.29,560.96,555.58,558.57,548.52,550.64,583.25,570.86,549.18,547.25,547.15,546.7,568.18
571.57,569.68,569.11,567.1,568.16,567.58,560.63,561.26,560.95,555.58,558.57,548.52,550.64,583.26,570.86,549.17,547.28,547.16,546.7,568.18
571.57,569.67,569.1,567.11,568.15,567.6,560.65,561.23,560.95,555.58,558.56,548.51,550.65,583.27,570.86,549.17,547.3,547.17,546.7,568.17
571.57,569.66,569.08,567.12,568.14,567.61,560.66,561.21,560.95,555.58,558.55,548.5,550.65,583.27,570.86,549.16,547.33,547.18,546.71,568.17
571.57,569.65,569.07,567.13,568.13,567.63,560.68,561.18,560.94,555.58,558.55,548.49,550.66,583.28,570.86,549.16,547.36,547.18,546.71,568.17
571.57,569.64,569.06,567.14,568.13,567.64,560.7,561.15,560.94,555.58,558.54,548.48,550.66,583.29,570.86,549.16,547.39,547.19,546.71,568.17
571.57,569.63,569.05,567.14,568.12,567.66,560.72,561.13,560.93,555.57,558.53,548.47,550.67,583.3,570.85,549.15,547.42,547.2,546.71,568.17
571.57,569.62,569.03,567.15,568.11,567.68,560.73,561.1,560.93,555.57,558.53,548.47,550.67,583.31,570.85,549.15,547.45,547.21,546.71,568.17
571.57,569.61,569.02,567.16,568.11,567.69,560.75,561.07,560.93,555.57,558.52,548.46,550.68,583.32,570.85,549.15,547.47,547.22,546.71,568.17
571.57,569.61,569.01,567.17,568.1,567.71,560.77,561.05,560.92,555.57,558.51,548.45,550.68,583.33,570.85,549.14,547.5,547.23,546.71,568.17
571.57,569.6,569.0,567.18,568.09,567.72,560.78,561.02,560.92,555.57,558.51,548.44,550.69,583.34,570.85,549.14,547.53,547.24,546.72,568.16
571.57,569.59,568.98,567.18,568.08,567.74,560.8,560.99,560.92,555.57,558.5,548.43,550.69,583.35,570.85,549.13,547.56,547.24,546.72,568.15
571.57,569.58,568.97,567.19,568.08,567.75,560.82,560.97,560.91,555.57,558.49,548.42,550.7,583.36,570.85,549.13,547.59,547.25,546.72,568.13
571.57,569.57,568.96,567.2,568.07,567.77,560.84,560.94,560.91,555.57,558.49,548.41,550.7,583.37,570.85,549.13,547.62,547.26,546.72,568.11
571.57,569.56,568.95,567.21,568.06,567.78,560.85,560.91,560.9,555.57,558.48,548.41,550.71,583.38,570.85,549.12,547.64,547.27,546.72,568.09
571.57,569.55,568.93,567.22,568.05,567.8,560.87,560.89,560.9,555.57,558.47,548.4,550.71,583.39,570.85,549.12,547.67,547.28,546.72,568.07
571.57,569.54,568.92,567.23,568.05,567.81,560.89,560.86,560.9,555.56,558.47,548.39,550.71,583.4,570.85,549.12,547.7,547.29,546.72,568.05
571.57,569.53,568.91,567.23,568.04,567.83,560.9,560.83,560.89,555.56,558.46,548.38,550.72,583.41,570.84,549.11,547.73,547.3,546.73,568.03
571.57,569.52,568.9,567.24,568.03,567.84,560.92,560.81,560.89,555.56,558.45,548.37,550.72,583.42,570.84,549.11,547.76,547.3,546.73,568.01
571.57,569.51,568.89,567.25,568.03,567.86,560.94,560.78,560.88,555.56,558.45,548.36,550.73,583.43,570.84,549.1,547.79,547.31,546.73,567.99
571.58,569.5,568.87,567.26,568.02,567.87,560.95,560.75,560.88,555.56,558.44,548.36,550.73,583.43,570.84,549.1,547.81,547.32,546.73,567.97
571.58,569.49,568.86,567.27,568.01,567.89,560.97,560.73,560.88,555.56,558.43,548.35,550.74,583.44,570.84,549.1,547.84,547.33,546.73,567.95
571.58,569.49,568.85,567.27,568.0,567.9,560.99,560.7,560.87,555.56,558.43,548.34,550.74,583.45,570.84,549.09,547.87,547.34,546.73,567.93
571.58,569.48,568.84,567.28,568.0,567.92,561.01,560.67,560.87,555.56,558.42,548.33,550.75,583.46,570.84,549.09,547.9,547.35,546.73,567.91
571.58,569.47,568.82,567.29,567.99,567.94,561.02,560.65,560.87,555.56,558.42,548.32,550.75,583.47,570.84,549.09,547.93,547.36,546.74,567.89
571.58,569.46,568.81,567.3,567.98,567.95,561.04,560.62,560.86,555.56,558.41,548.31,550.76,583.48,570.84,549.08,547.96,547.36,546.74,567.87
571.58,569.45,568.8,567.31,567.97,567.97,561.06,560.59,560.86,555.56,558.4,548.3,550.76,583.49,570.84,549.08,547.98,547.37,546.74,567.85
571.58,569.44,568.79,567.31,567.97,567.98,561.07,560.57,560.85,555.55,558.4,548.3,550.77,583.5,570.84,549.07,548.01,547.38,546.74,567.84
